method,label,n_episodes,SR,SPL_mean,SPL_std,rho_J_mean,rho_J_std,N_vla_mean,N_vla_std,T_wall_GPU_mean,T_wall_GPU_std,T_wall_CPU_mean,T_wall_CPU_std,J_star
no_vla,No VLA (RRT* oracle),15,1.0,0.9938689909960647,0.01306508048837446,3.763208721258255,0.13955536247294204,0.0,0.0,26.470666666666663,1.1247486632824042,26.470666666666663,1.1247486632824042,32.03114297031501
threshold,Scalar MLP trigger ,15,0.9333333333333333,0.6746210815495632,0.19022347895858696,13.515746254170052,2.8107995494887517,25.066666666666666,6.1042790092051185,146.80533333333332,29.65274891510435,309.7386666666667,68.08777999677247,32.03114297031501
learned,Visual trigger — ours,15,0.9333333333333333,0.7315691638049416,0.20302551670821586,11.229063282717233,3.118277425509568,15.066666666666666,5.971785513748984,111.61200000000001,32.2704668285622,209.54533333333333,71.01415012673336,32.03114297031501
